媒体,フォーム,確認ページ,メモ
もぐらゲームス,https://docs.google.com/forms/d/e/1FAIpQLSc6CzIQUTDuxr4LRQQOTuMfoOlD7YDFigzEOEBvXtDy-PbOlw/viewform,https://www.moguragames.com/about/,古いリストの別フォームとはURLが違う。添付なし。回答を記録しました。
インサイド,https://www.iid.co.jp/contact/media_contact.html?recipient=inside,https://www.iid.co.jp/contact/media_contact.html?recipient=inside,添付なし。thanks.html
Game*Spark,https://www.iid.co.jp/contact/media_contact.html?recipient=gamespark,https://www.gamespark.jp/pages/about.html,インサイドと同じ完了画面
ゲームドライブ,https://gamedrive.jp/contact/,https://gamedrive.jp/contact/,種別『プレスリリースについて』。complete『送信完了しました。』添付なし
4Gamer.net,https://www.4gamer.net/secure/mail/form.php,https://www.4gamer.net/secure/mail/form.php,二段の一段目。アドレスはフォームに出ない
